lang	byte_premium	original_mb	scaled_mb
nld_latn	1.051605721	9022.112624	8579.368148
nlg_latn	1.258656945	2.271379	1.804605305
nlx_deva	2.460334621	2.333293	0.9483640884
nnb_latn	1.307887294	9.384986	7.175684056
nno_latn	1.033289113	541.432177	523.9890463
nnq_latn	1.029210761	1.009397	0.9807485874
nnw_latn	1.461034034	1.482135	1.014442488
noa_latn	1.956453567	2.631977	1.345279563
nob_latn	0.9976190383	3518.237399	3526.63418
nod_thai	3.030512901	2.815899	0.9291823172
nog_cyrl	1.828168823	7.40967	4.053055663
nop_latn	1.272825764	1.843551	1.448392272
nor_latn	1.125315993	1447.968337	1286.721548
not_latn	1.424879431	1.395324	0.9792575917
nou_latn	1.339985372	1.403877	1.04768084
npi_deva	2.420182925	5446.968256	2250.643205
npl_latn	1.132584398	1.14131	1.007704152
nrm_latn	1.20871541	2.067063	1.710132081
nsn_latn	1.441080204	1.399007	0.9708043981
nso_latn	1.115696353	70.536793	63.22221349
nsu_latn	1.241468766	1.222049	0.9843574268
ntj_latn	1.621114946	2.29281	1.414341411
ntp_latn	1.595264108	1.540618	0.9657447894
ntr_latn	1.40200224	1.405767	1.002685274
ntu_latn	1.270101255	1.438387	1.132497897
nuj_latn	1.162670568	1.12552	0.9680472104
nuq_latn	1.720602958	1.398377	0.8127249773
nus_latn	1.293421156	6.490908	5.018402529
nuy_latn	2.252938219	2.114024	0.9383408662
nvm_latn	1.487945418	1.47892	0.9939343084
nwb_latn	2.008703801	1.957021	0.9742705714
nwi_latn	1.611400882	1.548331	0.9608602163
nya_latn	1.21429492	580.290005	477.8822636
nyf_latn	1.14467555	1.116585	0.9754598148
nyu_latn	1.097526914	3.039068	2.769014556
nyy_latn	1.342357889	1.208551	0.9003195123
nzi_latn	1.418370521	9.143357	6.446381159
obo_latn	1.444161276	1.392724	0.9643825957
oci_latn	1.014733462	436.254015	429.9198077
okv_latn	1.14950744	1.413839	1.229952022
olo_latn	1.207984711	2.362446	1.955691971
omw_latn	1.728273639	2.127663	1.231091508
ong_latn	1.453068501	1.489842	1.025307478
ons_latn	1.458597518	1.469744	1.007641918
ood_latn	1.307405545	1.219211	0.9325423199
opm_latn	1.694434413	1.71636	1.012939767
ori_orya	2.595114712	2122.307379	817.8086963
orm_latn	1.264405846	187.020194	147.9115228
ory_orya	2.510986656	2004.751501	798.3919374
oss_cyrl	1.846676453	83.010991	44.95156196
ote_latn	1.508806656	2.751896	1.823889091
otm_latn	1.425315993	1.398616	0.9812673168
otn_latn	1.737450573	1.623071	0.9341681572
otq_latn	1.252835364	24.212713	19.32633265
ots_latn	1.886960298	1.980974	1.04982283
pab_latn	1.381609563	1.301799	0.9422336345
pac_latn	1.462080867	1.454507	0.9948198029
pad_latn	1.953850198	1.804814	0.9237217888
pag_latn	1.043908443	38.7162	37.08773529
pah_latn	2.014008823	1.850906	0.9190158349
pam_latn	1.18679287	59.31418	49.97854428
pan_guru	2.220967698	5600.256566	2521.538954
pao_latn	1.189970515	1.129674	0.9493294042
pap_latn	1.001675271	279.953276	279.4850627
pau_latn	1.365566678	1.879854	1.37661092
pbb_latn	1.244808119	1.22616	0.9850192823
pbt_arab	1.736020956	399.990769	230.4066478
pcd_latn	1.174340715	4.876302	4.152374126
pck_latn	1.321489762	10.770292	8.150113839
pcm_latn	0.954503897	24.686556	25.86323228
pdc_latn	1.129005051	5.041248	4.465212973
peg_orya	3.181065576	2.878609	0.9049197293
pes_arab	1.59732627	12515.86852	7835.5116
pfl_latn	1.169695391	2.589142	2.213518168
pib_latn	1.023428036	1.001007	0.9780922203
pio_latn	2.303455921	2.155352	0.935703601
pir_latn	1.723878311	1.77828	1.031557732
piu_latn	2.160224909	2.333176	1.080061613
pjt_latn	2.045020685	3.068199	1.500326634
pls_latn	1.433475806	1.428376	0.9964423494
plt_latn	1.151182211	438.416103	380.8398867
plu_latn	1.632463258	1.506917	0.9230939763
plw_latn	1.377136523	1.405196	1.020375233
pma_latn	1.364083107	1.857513	1.361730081
pms_latn	1.22629916	22.137021	18.05189282
pnb_arab	1.414617177	202.097626	142.8638286
poe_latn	1.802283376	1.643979	0.9121645474
poh_latn	2.753523348	4.032521	1.464494936
poi_latn	1.519940116	1.475331	0.9706507411
pol_latn	1.077373477	9440.169942	8762.207483
pon_latn	0.897776051	6.498791	7.238766274
por_latn	1.097878434	8861.722514	8071.679195
poy_latn	1.102473086	1.095941	0.9940750608
ppo_latn	1.725766268	1.738001	1.007089449
pps_latn	1.390027657	1.346464	0.9686598631
prf_latn	1.211688876	1.163196	0.9599791028
pri_latn	1.468994994	1.381785	0.9406328855
prq_latn	1.291303056	1.857869	1.43875521
prs_arab	1.66404538	277.773088	166.92639
ptp_latn	1.371340084	1.400037	1.020926185
ptu_latn	1.333292953	1.47855	1.108946085
pus_arab	1.585665259	1727.246547	1089.288257
pwg_latn	1.260170053	1.481343	1.175510398
qub_latn	1.203967909	4.475389	3.717199575
quc_latn	1.452707367	4.260583	2.93285702
que_latn	1.21478134	174.534872	143.6759574
quf_latn	1.450170282	1.448946	0.9991557667
quh_latn	1.293227583	1.288435	0.9962940916
qul_latn	1.07633197	1.038135	0.9645119061
qup_latn	1.652028525	1.617291	0.9789728056
quy_latn	1.163741957	146.998197	126.3151132
quz_latn	1.297913163	12.3076	9.482606658
qva_latn	1.230374163	1.167898	0.9492218181
qvc_latn	1.536952298	1.50577	0.9797116033
qve_latn	1.644282416	1.632355	0.9927461269
qvh_latn	1.291607049	1.173548	0.9085952271
qvi_latn	1.401139223	1.396728	0.9968516882
qvm_latn	1.33948024	1.206351	0.9006112699
qvn_latn	1.320436104	1.340951	1.015536455
qvs_latn	1.552931362	1.522904	0.9806640765
qvw_latn	1.191746474	1.120945	0.9405901544
qvz_latn	1.349603438	1.356651	1.00522195
qwh_latn	1.217021325	1.167812	0.959565766
qxh_latn	1.224260017	1.175213	0.9599374183
qxl_latn	1.176395968	1.135254	0.965027109
qxn_latn	1.403700487	1.471422	1.048244988
qxo_latn	1.377445087	1.300718	0.9442975348
rai_latn	1.265961921	1.22218	0.9654160838
ram_latn	1.456728548	1.645857	1.129830951
rcf_latn	1.393222905	6.056504	4.347117735
reg_latn	1.033939796	1.030322	0.9965009607
rej_latn	1.412256394	1.142362	0.8088913632
rgu_latn	1.471417797	1.687589	1.146913544
rkb_latn	1.640490503	1.782245	1.086409825
rki_mymr	1.983187213	3.010808	1.518166303
rmc_latn	1.024618866	6.184048	6.035461775
roh_latn	1.273368995	119.46903	93.82121797
rol_latn	1.305220452	1.247741	0.9559618822
ron_cyrl	1.981705316	6.464038	3.261856316
ron_latn	1.115120928	7870.611605	7058.079002
roo_latn	1.570524102	1.715131	1.092075568
rop_latn	1.529233618	5.093562	3.330793896
row_latn	1.508799799	1.765835	1.170357393
rro_latn	1.134284931	1.141243	1.006134322
rub_latn	1.433935224	1.471327	1.026076336
rue_cyrl	1.560953869	8.517227	5.456424541
ruf_latn	1.027830221	1.017762	0.9902043929
rug_latn	1.350650271	4.472942	3.311695186
run_latn	1.119232514	108.70945	97.12856677
rup_latn	1.23688755	1.17339	0.9486634414
rus_cyrl	1.822744411	14819.8733	8130.527356
rus_latn	1.182252535	36.305324	30.70860323
rwo_latn	1.784190076	3.640875	2.040631796
sab_latn	2.193894997	1.987027	0.9057074303
sag_latn	1.162464677	21.875349	18.81807632
sah_cyrl	1.881497141	475.703014	252.8321747
san_arab	2.055285593	1.987176	0.9668612512
san_beng	2.76163646	2.276388	0.824289523
san_deva	2.542780452	345.532661	135.887729
san_gujr	2.385403762	2.298943	0.9637542443
san_guru	2.431816416	2.342203	0.9631495966
san_khmr	2.399970286	2.312594	0.9635927634
san_knda	2.385403762	2.298943	0.9637542443
san_latn	0.966275057	5.726895	5.926775154
san_mlym	2.342693881	2.258171	0.9639206464
san_mymr	2.315748211	2.231726	0.9637170351
san_orya	2.385403762	2.298952	0.9637580172
san_sinh	2.488267697	2.388033	0.9597170766
san_taml	2.690877923	2.570849	0.9553941403
san_telu	2.385399191	2.29891	0.9637422569
san_thai	2.401862815	2.31516	0.9639018455
san_tibt	2.166691047	2.093157	0.966061591
sat_olck	2.803663545	25.991884	9.270685867
sbl_latn	1.453123357	1.762765	1.213086963
sby_latn	1.10542159	1.078573	0.9757119001
sch_latn	1.121754931	1.098251	0.9790471784
scn_latn	1.036272745	124.313249	119.9619016
sco_latn	1.193629502	59.148379	49.55338226
seh_latn	1.255638564	5.418237	4.315124716
ses_latn	0.986251743	2.311461	2.34368255
set_latn	1.360707184	1.379273	1.01364424
sey_latn	1.506614706	1.512486	1.003897011
sgb_latn	1.350115426	1.26527	0.9371569094
sgs_latn	1.244480653	4.676864	3.758084939
sgz_latn	1.568727572	1.544699	0.984682763
shn_mymr	2.819448606	34.67931	12.30003268
shp_latn	1.292768165	2.126278	1.644748113
sig_latn	1.442716738	1.469034	1.018241462
sil_latn	1.229734178	1.207897	0.982242359
sim_latn	1.407771251	1.480762	1.051848444
sin_sinh	2.446318518	5103.074787	2086.02222
sja_latn	1.378279354	1.427123	1.035438132
skr_arab	1.573857549	2.903119	1.844588159
slk_latn	1.041506091	3868.892922	3714.709838
sll_latn	1.311019177	1.363252	1.039841387
slm_latn	1.361589449	1.344195	0.9872248944
slv_latn	0.9721500484	1524.741596	1568.422075
sme_latn	1.267947826	89.523256	70.60484208
smi_latn	1.28726552	1.03674	0.8053816281
smk_latn	1.350721126	1.360065	1.006917693
sml_latn	1.31911042	2.083062	1.579141494
smo_latn	1.178001518	408.425002	346.7100813
